,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Selenok,2.36E-15,-0.05322735,0.488,0.545,3.19E-11
Tomm20,2.40E-15,-0.050907032,0.466,0.526,3.25E-11
Icos,2.88E-15,-0.054372239,0.179,0.222,3.89E-11
Rplp1,3.35E-15,0.066181286,0.994,0.993,4.54E-11
Ndufb11,7.82E-15,-0.050650381,0.517,0.579,1.06E-10
Jund,1.16E-14,0.074647877,0.633,0.6,1.57E-10
Map1lc3b,1.38E-14,-0.056875663,0.558,0.617,1.86E-10
Ms4a6b,1.46E-14,-0.079749735,0.347,0.395,1.98E-10
Hsp90ab1,1.98E-14,0.061924909,0.995,0.995,2.68E-10
Emp3,2.33E-14,-0.055281465,0.322,0.374,3.16E-10
Psme1,2.34E-14,-0.062204391,0.615,0.658,3.16E-10
B4galnt1,3.37E-14,-0.069183879,0.357,0.404,4.56E-10
Eif5a,5.02E-14,-0.062964285,0.865,0.876,6.79E-10
S100a10,5.37E-14,-0.062757364,0.576,0.634,7.27E-10
Ifngr1,7.03E-14,-0.064992352,0.422,0.48,9.52E-10
Khdrbs1,1.51E-13,-0.051425225,0.544,0.603,2.05E-09
Snu13,1.54E-13,-0.060627781,0.499,0.554,2.09E-09
Junb,1.82E-13,-0.100219861,0.822,0.83,2.47E-09
H2afz,2.21E-13,-0.104175226,0.682,0.717,2.99E-09
Tspo,2.39E-13,-0.050731376,0.401,0.453,3.23E-09
Id3,4.08E-13,0.11422932,0.398,0.357,5.53E-09
Themis,6.37E-13,0.072343409,0.415,0.375,8.62E-09
Itk,8.79E-13,-0.054827908,0.591,0.642,1.19E-08
Sumo2,1.06E-12,-0.053320686,0.739,0.771,1.43E-08
Ube2s,1.20E-12,0.065659553,0.39,0.352,1.63E-08
Vim,1.34E-12,-0.079290591,0.401,0.45,1.81E-08
Gm20400,1.42E-12,-0.052660362,0.089,0.119,1.93E-08
mt-Nd4l,1.85E-12,0.072396135,0.824,0.796,2.50E-08
Npm1,2.07E-12,-0.051358996,0.934,0.939,2.80E-08
Skp1a,5.47E-12,-0.052880298,0.615,0.665,7.41E-08
Rpl13a,8.60E-12,0.068752358,0.533,0.513,1.16E-07
Cd247,1.74E-11,-0.056108352,0.644,0.693,2.36E-07
Ppp1ca,2.50E-11,-0.050581489,0.625,0.67,3.39E-07
Thy1,2.92E-11,0.067016354,0.768,0.748,3.96E-07
Tpm3,1.08E-10,-0.051816228,0.681,0.717,1.47E-06
Rpl39,1.27E-10,0.056293401,0.999,0.999,1.72E-06
H2afy,1.37E-10,0.056727508,0.372,0.337,1.86E-06
Rpl36al,1.39E-10,0.066415367,0.559,0.54,1.88E-06
Gpx1,2.00E-10,-0.057640689,0.499,0.546,2.71E-06
Rpl23a,2.35E-10,0.066676129,0.515,0.493,3.18E-06
Btg1,2.44E-10,0.05738122,0.92,0.913,3.30E-06
Crip1,2.48E-10,-0.084561283,0.44,0.485,3.36E-06
Tubb2a,1.17E-09,-0.079708438,0.433,0.476,1.59E-05
Tnfaip3,3.08E-09,-0.051149458,0.299,0.335,4.17E-05
