,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Uqcr10,0.000131213458096344,-0.0247623656768271,0.425,0.454,1
Arih1,0.000135151563812832,0.0238633519864431,0.133,0.116,1
Mdh2,0.000135285319110622,-0.022522969253969,0.525,0.561,1
Psap,0.000139903760154286,-0.0238493135273991,0.559,0.6,1
Atp5l,0.00014213082717252,-0.0243319073037741,0.598,0.635,1
Cd8a,0.000147884270580751,0.0382341999285589,0.834,0.824,1
Sec62,0.000155321772812975,-0.0227408492670075,0.516,0.55,1
Son,0.000163251380677756,-0.024245232494938,0.735,0.763,1
Timp2,0.000178932728484237,0.0238258339131084,0.174,0.155,1
Srfbp1,0.000184449832223577,0.0268435019412076,0.155,0.137,1
Cox7a2,0.000194462615857744,-0.0232487844617048,0.505,0.535,1
Arhgap45,0.000195203992149397,-0.0263875602807295,0.837,0.838,1
Ankrd44,0.000195632269675484,-0.0204209653433999,0.283,0.308,1
Cbl,0.000198060649798023,0.0294023251613115,0.307,0.286,1
Runx1,0.000216819771461445,0.0299784397366013,0.209,0.19,1
Sun2,0.000217003967839567,-0.0215499829930388,0.343,0.369,1
Dgkeos,0.000220622559292206,0.0312425919798024,0.149,0.132,1
Ndufc1,0.0002516859503042,-0.0217468340937593,0.222,0.244,1
Rpl31,0.000260097831640661,-0.0231237543923555,0.791,0.801,1
Lsm7,0.000268398455439127,-0.0228946230996917,0.337,0.362,1
Trav5-4,0.000272914165810176,-0.0227409465928107,0.021,0.029,1
Rpl5,0.000314191795540768,0.0367663027128201,0.707,0.709,1
Mplkip,0.000362734145353871,0.0249390439773629,0.239,0.22,1
Ptms,0.000376436569734594,0.0326197793182275,0.207,0.189,1
Sh3bgrl,0.000386998267439283,0.0210511469371438,0.135,0.119,1
Zfp36,0.000396124259896454,0.0402582829987959,0.426,0.41,1
Hnrnph3,0.000400216402645236,0.0227757675938235,0.164,0.147,1
Cd27,0.000403823816450352,0.0367677043667555,0.448,0.431,1
Senp6,0.000417777505519829,0.0273434396440384,0.236,0.218,1
Zbtb20,0.000444386162178671,0.0200290520221522,0.137,0.121,1
Rpl10a,0.000461593305643181,0.024059144428263,0.996,0.996,1
Atp5g3,0.000499199693113921,-0.020481203894144,0.877,0.875,1
Lgals1,0.000503385670356931,-0.0319341211102668,0.307,0.33,1
H2-DMa,0.000504222058613447,0.0247714207068873,0.12,0.106,1
Nr4a2,0.000536260679831692,0.0268878738469685,0.156,0.14,1
Tnks2,0.000602600209869372,0.0247162109620546,0.186,0.169,1
Ash1l,0.000630641967308603,-0.0210159287009592,0.186,0.205,1
Rpl14,0.00063626907571941,0.0357283408418845,0.935,0.919,1
Sh2d2a,0.000643445789754572,-0.0280991469928459,0.366,0.389,1
Birc6,0.000659433391823944,-0.021435890222992,0.32,0.344,1
Sept9,0.000724391596542574,0.0370614441003155,0.343,0.328,1
Cux1,0.000861524014269085,0.0320506483558987,0.325,0.307,1
Sept1,0.000881608189158426,0.021140296984713,0.865,0.848,1
Ddx3x,0.000951618855615705,-0.0226946252437652,0.169,0.186,1
Rbm3,0.000958649338730784,0.0296759073290043,0.866,0.855,1
Hmgn2,0.000960292419373189,-0.0291712662404833,0.503,0.535,1
Ikzf1,0.000963497289617537,0.0399124039450589,0.388,0.375,1
Stambpl1,0.000995559360065717,0.0211704262377192,0.198,0.18,1
Cnn2,0.00103803873460408,-0.0272221558595014,0.655,0.667,1
Myl6,0.00104320436528769,-0.0237272126319614,0.846,0.839,1
Gm42031,0.00120247937841569,0.041975019914437,0.311,0.295,1
Atp5g2,0.00124462345130577,0.0233336318683066,0.798,0.779,1
Nsg2,0.001285941974438,0.0473946312108049,0.328,0.315,1
AC149090.1,0.00138915245246705,0.0274161629188888,0.267,0.25,1
Hdac7,0.00167184202557575,0.0381915504021355,0.394,0.384,1
Ybx1,0.0017194942284058,0.0258723713000582,0.772,0.761,1
Cdc42,0.00181596977986602,-0.0200925039569553,0.677,0.699,1
Llph,0.00184530556618837,-0.0207073230435307,0.33,0.35,1
Prpf38b,0.00214113737849258,0.0274458162391446,0.322,0.305,1
Leprotl1,0.0022229034986691,-0.0210897346637176,0.438,0.461,1
Uqcrh,0.00225934575892027,-0.0218496662744003,0.887,0.884,1
Ncor1,0.00237507952605693,0.0288785979153599,0.399,0.385,1
Hnrnpab,0.00244932135238263,-0.0298472870732287,0.754,0.771,1
Hivep3,0.0025909871135445,0.0287843712686525,0.123,0.11,1
Sub1,0.00263818587697061,-0.0207647639853098,0.721,0.746,1
Il2rg,0.00277913977232425,-0.0260640881119438,0.83,0.825,1
Anp32b,0.00283373489341283,-0.0229602547568193,0.555,0.589,1
Hmgb1,0.00325671350635933,-0.0244781245601016,0.842,0.861,1
2010107E04Rik,0.0033243009910147,0.0309094761817118,0.602,0.599,1
Ucp2,0.00439958357369045,0.0250860361586733,0.926,0.916,1
Rpl26,0.00441766141782715,0.021456779453225,0.991,0.988,1
Actn1,0.00511943703072952,0.0313757534986248,0.386,0.375,1
Slc38a2,0.00559868425461383,0.0294630678278796,0.586,0.579,1
Dusp2,0.00564866826926843,-0.0254080095725012,0.313,0.333,1
Snx18,0.00620510919661547,-0.0294736046114781,0.234,0.251,1
Hnrnpa1,0.00668089633864833,-0.0224914156206784,0.781,0.79,1
Ldhb,0.00711890885485846,0.0304463340956876,0.447,0.436,1
Satb1,0.00727613837749842,0.0250067986151772,0.847,0.854,1
Mad1l1,0.00789093422759277,0.0323774782115781,0.192,0.18,1
Cd28,0.00829719818295833,0.0430974339235629,0.588,0.589,1
St13,0.00844927842689058,0.036240104759827,0.368,0.357,1
Hnrnpul2,0.0106007217822578,0.02463542005742,0.289,0.276,1
Dut,0.0108755628194944,-0.0227717352184498,0.201,0.216,1
Nkg7,0.0116724575020845,0.0290814397602093,0.301,0.327,1
Cd5,0.0121213360404241,0.03974546795696,0.383,0.375,1
Agfg2,0.0127195481210037,0.0211146392414839,0.19,0.178,1
Znrf1,0.0168443610605782,0.0362579634222373,0.474,0.474,1
Rhoa,0.0193982978070916,0.0246505338375504,0.901,0.893,1
Tox,0.0203555758241991,0.0310833151602312,0.318,0.308,1
Rpl36a,0.0203566779861772,0.0315965706484627,0.944,0.931,1
Trbc1,0.021508335803358,-0.0539545339460588,0.394,0.41,1
Foxn3,0.0239212515871397,0.0236018918578635,0.321,0.311,1
Pdcd4,0.0257604648561992,0.0301829196797609,0.443,0.44,1
Gm8186,0.0265882144770735,0.0208611746024275,0.281,0.271,1
Myh9,0.0273127359198383,0.0306538524517778,0.579,0.583,1
Pclaf,0.0276041223230374,-0.0416390117162291,0.018,0.022,1
Trbv12-1,0.0292264508888872,-0.080228080381273,0.101,0.11,1
Akap13,0.0312804395895842,0.0278767876541036,0.429,0.425,1
Wdr33,0.0316516873426356,0.0211663917971575,0.378,0.369,1
Dnajc3,0.0319938751181185,0.0326489089401485,0.474,0.474,1
Xrcc6,0.035552451588528,0.0249222971023035,0.217,0.207,1
Lcp2,0.0414619734631761,0.0236004432692163,0.387,0.381,1
Ppp1r14b,0.0444872778057021,-0.020057370048417,0.203,0.213,1
Rps6,0.047601634041544,0.0231675069229125,0.901,0.893,1
Itm2a,0.0603265446746462,-0.0401340971890457,0.33,0.343,1
Rpl22,0.0696697724379597,0.0206887856974787,0.991,0.99,1
Epsti1,0.0880459987988683,0.0395248136713414,0.333,0.331,1
Ddit4,0.0946504668851272,-0.0203350952534863,0.3,0.311,1
Srsf3,0.098053987723079,0.0229893145542255,0.588,0.596,1
Cnp,0.121976172219591,0.0203878428839488,0.337,0.331,1
Atp5k,0.122377347534249,0.0241338037492143,0.395,0.393,1
Trbv12-2,0.13744937862186,-0.0684521911741837,0.152,0.159,1
Smarca4,0.140784720716697,0.0223148659075793,0.246,0.24,1
Tsc22d4,0.160648302923459,0.0217351183358361,0.55,0.555,1
